Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
C,7,7,33.6,11.3,21.3,0.53,1.4,3.6,0.4,9.9,17.7,0.556,0.564,7.7,9.1,0.844,2.3,8.6,10.9,5.9,0.7,2.3,3.7,2.4,31.7
SG,2,2,36.0,11.5,20.0,0.575,4.0,7.5,0.533,7.5,12.5,0.6,0.675,4.5,4.5,1.0,1.0,6.5,7.5,10.5,0.5,0.0,5.5,4.0,31.5
PG,8,8,37.4,10.5,21.8,0.483,4.1,10.6,0.388,6.4,11.1,0.573,0.578,6.4,8.3,0.773,0.8,8.5,9.3,8.8,1.4,0.6,4.9,2.3,31.5
PG,3,3,35.3,11.3,23.3,0.486,3.0,8.0,0.375,8.3,15.3,0.543,0.55,5.7,7.0,0.81,1.0,3.3,4.3,6.0,1.3,0.7,2.7,4.0,31.3
SG,7,7,35.9,11.1,21.9,0.51,3.4,9.4,0.364,7.7,12.4,0.621,0.588,5.0,5.6,0.897,1.1,3.7,4.9,5.6,2.3,0.6,2.7,2.1,30.7
PG,9,9,32.1,9.4,18.4,0.512,5.9,12.4,0.473,3.6,6.0,0.593,0.672,5.2,5.7,0.922,0.9,3.9,4.8,4.2,1.0,0.1,3.6,1.6,30.0
PF,8,8,36.6,10.1,19.8,0.513,1.4,3.9,0.355,8.8,15.9,0.551,0.547,7.6,9.1,0.836,0.5,6.1,6.6,4.6,1.0,1.3,4.3,1.4,29.3
C,9,9,34.2,11.9,19.1,0.622,1.4,4.3,0.333,10.4,14.8,0.707,0.66,3.9,5.4,0.714,3.1,9.8,12.9,8.0,1.1,0.8,3.4,2.1,29.1
SF,7,7,36.4,10.4,19.4,0.537,3.3,8.0,0.411,7.1,11.4,0.625,0.621,4.3,5.3,0.811,0.6,9.1,9.7,3.6,1.6,0.1,3.0,2.1,28.4
PG,7,7,35.1,10.6,20.7,0.51,1.3,4.0,0.321,9.3,16.7,0.556,0.541,5.7,6.3,0.909,0.9,6.1,7.0,6.4,2.3,0.6,2.6,2.3,28.1
SG,7,7,35.4,10.6,20.7,0.51,2.7,6.3,0.432,7.9,14.4,0.545,0.576,4.0,4.9,0.824,0.7,5.4,6.1,5.3,1.1,0.3,3.6,2.1,27.9
SG,8,7,32.4,9.9,20.6,0.479,2.1,6.6,0.321,7.8,14.0,0.554,0.53,5.0,5.9,0.851,0.3,3.5,3.8,2.1,0.9,0.6,1.3,1.9,26.9
SF,7,7,34.3,8.0,16.4,0.487,3.4,8.1,0.421,4.6,8.3,0.552,0.591,6.0,6.3,0.955,0.6,4.9,5.4,3.4,2.6,0.1,2.9,2.3,25.4
PG,7,7,37.6,9.1,19.0,0.481,3.1,7.7,0.407,6.0,11.3,0.532,0.564,4.0,4.4,0.903,0.7,4.4,5.1,7.0,0.9,0.7,1.1,1.7,25.4
SG,8,8,35.1,9.3,20.5,0.451,3.1,9.4,0.333,6.1,11.1,0.551,0.527,3.5,4.0,0.875,0.8,4.3,5.0,3.9,1.9,0.9,2.5,3.1,25.1
PF,7,7,29.3,10.1,20.0,0.507,2.6,7.3,0.353,7.6,12.7,0.596,0.571,2.1,2.6,0.833,1.4,5.4,6.9,3.3,0.1,0.4,1.7,1.3,25.0
PF,7,7,31.0,9.0,17.1,0.525,0.7,2.7,0.263,8.3,14.4,0.574,0.546,5.7,9.1,0.625,2.3,6.7,9.0,3.4,0.7,1.6,3.7,2.4,24.4
PF,8,8,34.8,9.5,17.0,0.559,1.6,5.3,0.31,7.9,11.8,0.67,0.607,3.8,5.6,0.667,0.5,7.6,8.1,5.4,1.4,1.0,4.1,1.6,24.4
PG,7,7,33.7,6.3,15.7,0.4,2.4,8.3,0.293,3.9,7.4,0.519,0.477,9.3,10.0,0.929,0.6,3.9,4.4,4.7,1.1,0.1,2.6,1.3,24.3
PG,9,9,35.9,8.9,21.3,0.417,2.2,6.8,0.328,6.7,14.6,0.458,0.469,4.0,4.7,0.857,0.4,3.2,3.7,7.1,0.7,0.2,5.4,3.1,24.0
PF,9,9,33.1,8.1,17.1,0.474,4.1,9.2,0.446,4.0,7.9,0.507,0.594,3.7,4.2,0.868,2.7,6.1,8.8,1.7,0.8,0.7,1.6,2.4,24.0
C,7,7,36.9,9.0,16.3,0.553,0.4,1.0,0.429,8.6,15.3,0.561,0.566,5.4,6.1,0.884,3.1,8.9,12.0,3.3,1.0,3.3,1.4,3.3,23.9
PG,7,7,32.0,8.0,16.3,0.491,2.7,7.3,0.373,5.3,9.0,0.587,0.575,4.1,4.4,0.935,0.4,3.6,4.0,11.9,1.0,0.6,2.7,1.3,22.9
SG,8,8,34.0,8.5,19.0,0.447,3.1,7.6,0.41,5.4,11.4,0.473,0.53,2.8,3.1,0.88,0.4,4.6,5.0,4.6,1.4,0.0,2.5,1.6,22.9
PF,8,8,37.0,7.5,18.3,0.411,2.3,6.6,0.34,5.3,11.6,0.452,0.473,5.5,7.1,0.772,1.3,3.6,4.9,2.0,0.5,1.0,2.9,2.4,22.8
C,7,7,34.0,8.1,16.0,0.509,0.1,0.3,0.5,8.0,15.7,0.509,0.513,6.3,8.1,0.772,2.1,7.1,9.3,3.4,0.9,1.6,3.6,2.6,22.7
SG,7,7,34.4,8.4,16.9,0.5,2.1,5.6,0.385,6.3,11.3,0.557,0.564,3.6,4.1,0.862,0.9,3.9,4.7,6.1,1.0,0.4,2.6,1.3,22.6
PG,8,8,34.8,7.9,19.5,0.404,2.6,6.1,0.429,5.3,13.4,0.393,0.471,4.1,5.0,0.825,0.9,2.8,3.6,4.8,1.1,0.0,2.4,2.1,22.5
C,8,8,32.9,7.6,15.5,0.492,2.0,5.6,0.356,5.6,9.9,0.57,0.556,5.1,6.4,0.804,1.9,5.3,7.1,2.5,0.4,2.1,1.8,3.4,22.4
SG,9,9,34.8,7.6,17.8,0.425,2.4,7.2,0.338,5.1,10.6,0.484,0.494,4.9,5.8,0.846,0.4,4.2,4.7,2.9,0.8,0.2,2.4,2.2,22.4
SG,6,6,31.2,7.7,16.2,0.474,2.7,5.7,0.471,5.0,10.5,0.476,0.557,4.3,5.0,0.867,0.7,2.7,3.3,3.3,0.5,0.2,2.3,1.2,22.3
SG,5,5,35.8,8.4,18.0,0.467,1.6,6.2,0.258,6.8,11.8,0.576,0.511,3.6,4.4,0.818,0.8,3.2,4.0,5.0,0.6,0.4,2.2,0.8,22.0
PF,6,6,32.0,9.0,17.8,0.505,0.0,0.2,0.0,9.0,17.7,0.509,0.505,3.8,6.3,0.605,3.3,3.7,7.0,4.7,0.8,0.0,2.0,2.3,21.8
SG,6,6,34.3,7.3,16.7,0.44,3.2,8.3,0.38,4.2,8.3,0.5,0.535,3.8,5.2,0.742,0.8,4.0,4.8,5.7,1.5,0.8,1.3,2.3,21.7
PG,7,7,35.6,5.9,17.4,0.336,1.7,6.3,0.273,4.1,11.1,0.372,0.385,8.3,9.3,0.892,0.7,2.1,2.9,10.4,1.4,0.0,4.3,1.7,21.7
SG,8,8,36.9,8.0,16.5,0.485,2.0,5.3,0.381,6.0,11.3,0.533,0.545,3.5,4.6,0.757,3.0,7.4,10.4,6.0,1.5,2.1,2.9,2.5,21.5
SF,7,7,34.1,8.0,18.3,0.438,2.6,7.3,0.353,5.4,11.0,0.494,0.508,2.9,4.0,0.714,0.4,5.1,5.6,2.7,1.1,0.4,2.4,3.3,21.4
SF,9,9,34.6,7.6,17.3,0.436,0.7,2.1,0.316,6.9,15.2,0.453,0.455,5.7,6.9,0.823,1.1,2.0,3.1,4.6,1.3,0.8,0.9,2.2,21.4
SF,5,5,33.4,9.0,18.4,0.489,0.6,3.8,0.158,8.4,14.6,0.575,0.505,2.8,3.2,0.875,0.8,4.4,5.2,4.6,0.6,0.2,3.6,2.0,21.4
SF,7,7,33.6,8.3,17.6,0.472,2.9,6.9,0.417,5.4,10.7,0.507,0.553,2.0,2.9,0.7,1.3,4.7,6.0,4.0,1.6,0.3,1.7,1.6,21.4
